 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
     25 - 29 Years , 1.6 , 1.8 , 2.4 , 2.3 , 2.4 , 2.9 , 3.1 , 2.5 , 3.8 , 4.7 , 6.4 , 3.9 , 5 , 6.4 , 6.8 , 5.9 , 5.2 , 4.3 , 4.2 , 7.3 , 5.8 , 4.5 , 3.8 , 5.1 , 5.3 , 5.3 , 4.9 , 4.6 , 6.1 ,
     30 - 34 Years , 1 , 1.1 , 1.8 , 1.3 , 1.6 , 2.3 , 1.6 , 2.1 , 2.5 , 3.9 , 5.5 , 2.7 , 4.7 , 6.4 , 5.6 , 6 , 4.4 , 3.9 , 4.5 , 6.2 , 4.6 , 4.2 , 3.8 , 4.2 , 4.3 , 3.8 , 4.1 , 3.2 , 3.8 ,
     35 - 39 Years , 0.7 , 1.3 , 1.1 , 1.4 , 1.2 , 1.9 , 2 , 1.6 , 2.4 , 3.5 , 5.7 , 3.3 , 4.3 , 5.1 , 4.6 , 6 , 5 , 4.3 , 3.9 , 6.9 , 3.4 , 4.3 , 4.7 , 5.1 , 4 , 2.9 , 5.4 , 4.6 , 3.7 ,
     40 - 44 Years , 0.5 , 0.9 , 0.6 , 1.2 , 1.3 , 1.6 , 1.6 , 1.3 , 1.9 , 3.7 , 5.8 , 2.6 , 4.1 , 5.1 , 4.9 , 6.3 , 4.1 , 4 , 4.4 , 6.3 , 4.3 , 4.2 , 3.8 , 4.1 , 4.1 , 4.3 , 4.2 , 5.5 , 3.8 ,
     45 - 49 Years , 0.3 , 0.2 , 0.4 , 0.6 , 0.7 , 1.1 , 1.1 , 1.3 , 1.7 , 3.2 , 4.7 , 2.6 , 4.3 , 4.5 , 5.2 , 6.1 , 4.6 , 3.5 , 3.6 , 6 , 3.5 , 4.3 , 3.8 , 4.1 , 3.7 , 3.4 , 4.8 , 4.4 , 4.5 ,
     50 - 54 Years , 0.1 , 0.2 , 0.4 , 0.4 , 0.3 , 0.5 , 0.9 , 0.3 , 0.8 , 1.1 , 2.9 , 1.4 , 2.7 , 3.1 , 3 , 4.2 , 2.9 , 2.9 , 2.6 , 4.8 , 3.1 , 3.1 , 3.5 , 2.9 , 2.9 , 3.4 , 4 , 4.7 , 3.5 ,
     55 - 59 Years , 0 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.4 , 0.2 , 0.4 , 0.9 , 1 , 0.5 , 1 , 1 , 1.5 , 2.3 , 2 , 1.9 , 1.6 , 2.8 , 1.8 , 2.2 , 2.2 , 2.9 , 2.4 , 3 , 3.4 , 2.9 , 3.4 ,
     60 - 64 Years , 0 , 0 , 0.1 , 0.1 , 0.2 , 0.1 , 0.3 , 0.1 , 0.2 , 0.7 , 0.5 , 0.3 , 0.6 , 0.3 , 0.1 , 0.8 , 0.7 , 0.5 , 0.9 , 1.4 , 0.9 , 1.4 , 1.6 , 1.1 , 1.8 , 1.6 , 2.2 , 1.7 , 1.7 ,
     65 Years & Over , 0 , 0.1 , 0.1 , 0 , 0.1 , 0 , 0 , 0.1 , 0 , 0.3 , 0.2 , 0.1 , 0.3 , 0.1 , 0.3 , 0.4 , 0.5 , 0.4 , 0.4 , 0.7 , 0.5 , 0.4 , 1.2 , 1 , 1.3 , 1.6 , 1.7 , 1.4 , 1.4 ,
 Female Residents Outside The Labour Force , 529 , 559.2 , 568.6 , 583.5 , 589.2 , 616.5 , 597.3 , 614.7 , 630.5 , 621.4 , 630.1 , 629.5 , 659.6 , 674.8 , 680.6 , 678 , 674.1 , 674.6 , 666.5 , 698.3 , 690.6 , 694.8 , 691 , 689.3 , 693.2 , 665.4 , 677.9 , 692.1 , 693.3 ,
     15 - 19 Years , 80.5 , 81.8 , 82.2 , 83.9 , 80.5 , 87 , 87.1 , 85.6 , 91 , 85.9 , 87.6 , 89.1 , 91.1 , 95.2 , 100.9 , 105.2 , 107.3 , 112.6 , 113.3 , 118.4 , 113 , 118.7 , 118.2 , 114.2 , 108.9 , 106.2 , 105.7 , 106.1 , 105.2 ,
     20 - 24 Years , 25.6 , 23.4 , 27.9 , 28.7 , 29.9 , 29.7 , 28.1 , 31 , 32.8 , 28.9 , 32.8 , 31.1 , 36.9 , 33.8 , 36 , 38.6 , 31.1 , 35.3 , 35.1 , 41.8 , 39.7 , 47.5 , 48.3 , 48.6 , 51.2 , 41.5 , 47.7 , 44.9 , 44.6 ,
     25 - 29 Years , 35.1 , 36.3 , 34.2 , 31.8 , 30.3 , 28.6 , 26.6 , 25.4 , 26.1 , 26.1 , 23.9 , 22.5 , 22.3 , 20.3 , 20.1 , 19.3 , 19.7 , 16 , 19.1 , 18.4 , 18.3 , 16.3 , 15.7 , 14.6 , 14 , 12.8 , 12.6 , 13.2 , 14.1 ,
     30 - 34 Years , 54.2 , 57.4 , 53.5 , 54.7 , 55.4 , 57.3 , 51.2 , 50 , 48 , 46 , 42.2 , 41.8 , 41.8 , 39 , 37.9 , 35.3 , 33.7 , 31.4 , 28.8 , 30 , 28.4 , 28.6 , 24.3 , 23.8 , 24.8 , 23.1 , 21 , 18.4 , 21.1 ,
     35 - 39 Years , 54.9 , 57 , 59.5 , 60.8 , 62.1 , 65.2 , 61.1 , 62.8 , 59.2 , 61.3 , 59.4 , 60.4 , 60.6 , 53.9 , 49.3 , 48.6 , 45.7 , 42.6 , 41 , 41.4 , 41.1 , 35.8 , 33.6 , 32.1 , 28.5 , 29.1 , 26.6 , 27.7 , 29.5 ,
     40 - 44 Years , 47 , 53 , 53.3 , 56.4 , 56.4 , 59.9 , 60.2 , 60.3 , 61 , 60.1 , 60.7 , 59.1 , 58.9 , 58.3 , 57.7 , 54.4 , 52.6 , 48.7 , 48.5 , 45.4 , 42.4 , 41.5 , 41 , 40.1 , 34.8 , 34.7 , 31.8 , 34.9 , 30.8 ,
     45 - 49 Years , 34.4 , 38.4 , 41.1 , 44 , 46.8 , 51.5 , 52.8 , 54.3 , 55.6 , 50.9 , 54.4 , 51.8 , 56.8 , 60 , 57.6 , 55.9 , 54.4 , 55.7 , 48.8 , 51.6 , 50.9 , 46.1 , 43 , 42.9 , 40.6 , 38 , 35.8 , 36.2 , 35.5 ,
     50 - 54 Years , 37.7 , 45 , 46.7 , 44.8 , 44.6 , 40.9 , 36 , 42.1 , 46.2 , 49.5 , 54 , 53.4 , 55.2 , 55.6 , 58 , 59.2 , 54.5 , 55.5 , 55.2 , 55.6 , 53.3 , 52.7 , 54.6 , 54.3 , 48.2 , 47 , 48.5 , 44.3 , 45.6 ,
     55 - 59 Years , 38.9 , 41.9 , 41.6 , 44.6 , 45.2 , 45.6 , 45.9 , 49.7 , 46.3 , 45.1 , 43.5 , 38.5 , 46.8 , 54.3 , 57.2 , 61.6 , 61.3 , 59.3 , 58.6 , 58.3 , 63.1 , 60.6 , 59.4 , 57.9 , 57.8 , 54.9 , 55.8 , 54.3 , 56.5 ,
     60 - 64 Years , 36.1 , 38.6 , 41.4 , 42.8 , 42.1 , 43.9 , 41.3 , 42.5 , 45.3 , 47.7 , 47.9 , 51.4 , 54.2 , 55.4 , 53.1 , 48.1 , 49.6 , 52.1 , 54 , 63.1 , 64.2 , 64.7 , 64 , 63.6 , 67.3 , 65.2 , 67.2 , 66.8 , 71.5 ,
     65 Years & Over , 84.7 , 86.5 , 87.1 , 90.9 , 95.8 , 106.7 , 107 , 110.9 , 118.9 , 119.9 , 123.6 , 130.4 , 135.1 , 149.1 , 152.7 , 151.8 , 164.3 , 165.5 , 163.9 , 174.5 , 176.4 , 182.3 , 188.7 , 197.1 , 217.2 , 213 , 225.1 , 245.2 , 239.1 ,
