bezirkId,bezirk,a_wahlkreis,b_wahlkreis,ost_west,wahlberechtigte,waehler,gueltig,ungueltig,CDU,DIE LINKE,SPD,GRUNE,FDP,PIRATEN,NPD,BuSo,MLPD,AfD,BIG,pro Deutschland,FREIE WAHLER,Die PARTEI,Boes,B,Bundnis 21_RRP,DKP,Die Violetten,Ditsche,Di Leo,Sylla,Fricke,Otto,Beckmann,Snelinski
1,Mitte,2,75,O,459,174,173,1,43,58,38,18,3,9,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,1507,806,800,6,221,146,235,124,14,14,4,1,1,23,1,0,1,10,1,0,0,4,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,976,483,477,6,176,86,92,75,9,10,3,0,0,14,0,0,0,6,5,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,937,466,462,4,102,77,94,135,9,16,1,1,1,13,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,2,75,O,633,344,342,2,70,76,76,92,2,12,0,0,0,2,0,0,1,4,6,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,2,75,O,674,352,347,5,92,61,95,65,5,12,1,0,0,10,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1205,628,617,11,230,77,179,60,11,22,3,0,1,25,1,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,885,467,459,8,116,55,133,98,6,19,2,4,0,16,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1136,600,588,12,193,43,186,85,10,28,5,0,1,20,4,0,1,6,3,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,888,449,446,3,125,32,151,93,8,10,2,1,0,13,0,0,1,4,2,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,823,411,400,11,80,45,138,98,6,12,2,1,0,11,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1066,566,563,3,131,44,208,135,9,9,2,0,1,14,0,0,0,4,4,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,943,520,509,11,114,48,158,130,8,20,3,1,0,13,5,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1167,582,569,13,121,58,173,130,8,25,3,2,1,15,4,0,1,11,8,0,0,1,0,0,0,8,0,0,0,0
1,Mitte,3,75,W,1323,577,564,13,120,76,195,91,3,30,2,0,3,19,2,0,1,12,5,0,0,3,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,907,481,478,3,84,77,132,104,9,31,1,0,1,16,1,0,2,8,7,0,0,0,0,0,0,5,0,0,0,0
1,Mitte,3,75,W,902,447,434,13,87,59,140,89,4,12,3,0,2,13,5,0,1,9,1,0,0,1,0,0,0,8,0,0,0,0
1,Mitte,3,75,W,907,490,485,5,114,57,152,95,11,22,3,0,1,17,0,0,0,5,4,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,1355,756,752,4,118,102,236,223,7,26,3,0,0,21,1,0,2,7,2,0,0,0,0,0,0,4,0,0,0,0
1,Mitte,3,75,W,1292,745,739,6,151,69,248,205,9,13,5,1,2,19,0,0,1,9,3,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,3,75,W,1124,670,662,8,125,56,218,215,2,15,4,0,2,11,2,0,0,4,4,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1116,612,601,11,163,69,173,131,2,23,3,1,0,27,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1162,691,678,13,222,64,213,119,8,11,2,1,0,23,0,0,1,8,4,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,3,75,W,1047,545,538,7,144,50,178,108,9,16,3,0,0,19,0,0,1,6,2,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,1140,567,558,9,196,51,182,71,9,11,4,1,1,18,0,0,2,5,6,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,792,394,388,6,78,64,124,77,4,15,3,0,1,11,2,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,626,367,362,5,113,28,109,94,4,6,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1056,563,559,4,219,39,162,87,10,10,0,0,0,24,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1236,538,529,9,203,41,166,57,11,15,7,1,0,21,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1087,473,464,9,116,57,151,83,10,13,2,2,0,22,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1122,558,549,9,131,72,155,115,8,27,2,1,0,22,2,0,0,8,5,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,3,75,W,1268,608,603,5,91,80,179,169,14,24,3,0,1,18,6,0,0,10,4,0,0,3,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,1542,706,699,7,243,75,216,101,14,18,3,0,1,16,1,0,2,6,2,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,856,428,423,5,108,56,129,60,8,23,7,1,0,17,5,0,0,3,4,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,1282,630,615,15,122,98,184,126,5,29,3,1,0,13,14,0,3,11,5,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,981,480,467,13,149,64,137,63,4,13,6,0,1,17,0,0,0,9,2,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,3,75,W,1198,664,655,9,213,97,208,86,3,13,3,0,0,16,5,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1320,647,638,9,143,97,197,104,9,33,10,1,1,32,4,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,962,477,469,8,86,74,130,86,8,40,6,1,0,20,1,0,1,9,2,0,0,1,0,0,0,4,0,0,0,0
1,Mitte,4,75,W,1294,609,597,12,99,108,182,108,5,36,8,0,1,20,8,0,0,11,9,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,980,526,514,12,87,82,144,124,5,26,10,0,2,14,1,0,1,11,5,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,4,75,W,732,323,319,4,84,30,98,65,2,15,0,0,1,8,0,0,1,8,5,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,779,371,363,8,62,44,118,67,3,25,6,0,3,17,2,0,0,11,4,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,889,460,451,9,95,70,134,99,2,23,0,1,3,13,0,0,0,5,4,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1179,671,655,16,172,84,184,117,11,31,5,1,4,20,1,0,2,10,11,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,4,75,W,1036,581,572,9,113,72,180,130,7,25,3,2,2,13,0,0,1,10,11,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,4,75,W,972,513,504,9,96,82,136,120,5,17,6,2,15,10,1,0,0,6,5,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,4,75,W,1194,618,611,7,112,78,178,160,5,32,3,0,2,14,2,0,1,16,4,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,4,75,W,1042,531,525,6,99,71,158,103,5,38,5,1,3,14,2,0,1,13,7,0,0,1,0,0,0,4,0,0,0,0
1,Mitte,4,75,W,922,474,466,8,99,55,158,94,2,16,3,2,0,13,1,0,1,12,9,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,853,438,429,9,94,54,143,75,1,20,7,0,1,11,5,0,1,9,7,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1130,543,528,15,81,71,194,123,3,24,4,0,0,10,5,0,0,9,2,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,4,75,W,1164,510,506,4,96,59,163,102,8,32,7,3,1,15,7,0,0,6,3,0,0,0,0,0,0,4,0,0,0,0
